"name"
"AdaBoostRegressor"
"BaggingRegressor"
DecisionTreeRegressor
DummyRegressor
"ElasticNetCV"
"ExtraTreeRegressor"
"ExtraTreesRegressor"
"GammaRegressor"
"GaussianProcessRegressor"
"GradientBoostingRegressor"
"HistGradientBoostingRegressor"
HuberRegressor
"Lars"
"LarsCV"
"LassoCV"
"LinearSVR"
MLPRegressor
NuSVR
"PassiveAggressiveRegressor"
PoissonRegressor
"RandomForestRegressor"
RidgeCV
SGDRegressor
SVR
TweedieRegressor
ARDRegression
